0	0	100
0	1	97
0	2	94
0	3	91
0	4	88
0	5	85
0	6	82
0	7	79
0	8	76
0	9	73
0	10	70
0	11	67
0	12	64
0	13	61
0	14	58
0	15	55
0	16	52
0	17	49
0	18	46
0	19	43
0	20	40
0	21	37
0	22	34
0	23	31
0	24	28
0	25	25
0	26	22
0	27	19
0	28	16
0	29	13
0	30	10
0	31	7
0	32	4
0	33	1
1	0	95
1	1	92
1	2	89
1	3	86
1	4	83
1	5	80
1	6	77
1	7	74
1	8	71
1	9	68
1	10	65
1	11	62
1	12	59
1	13	56
1	14	53
1	15	50
1	16	47
1	17	44
1	18	41
1	19	38
1	20	35
1	21	32
1	22	29
1	23	26
1	24	23
1	25	20
1	26	17
1	27	14
1	28	11
1	29	8
1	30	5
1	31	2
2	0	90
2	1	87
2	2	84
2	3	81
2	4	78
2	5	75
2	6	72
2	7	69
2	8	66
2	9	63
2	10	60
2	11	57
2	12	54
2	13	51
2	14	48
2	15	45
2	16	42
2	17	39
2	18	36
2	19	33
2	20	30
2	21	27
2	22	24
2	23	21
2	24	18
2	25	15
2	26	12
2	27	9
2	28	6
2	29	3
2	30	0
3	0	85
3	1	82
3	2	79
3	3	76
3	4	73
3	5	70
3	6	67
3	7	64
3	8	61
3	9	58
3	10	55
3	11	52
3	12	49
3	13	46
3	14	43
3	15	40
3	16	37
3	17	34
3	18	31
3	19	28
3	20	25
3	21	22
3	22	19
3	23	16
3	24	13
3	25	10
3	26	7
3	27	4
3	28	1
4	0	80
4	1	77
4	2	74
4	3	71
4	4	68
4	5	65
4	6	62
4	7	59
4	8	56
4	9	53
4	10	50
4	11	47
4	12	44
4	13	41
4	14	38
4	15	35
4	16	32
4	17	29
4	18	26
4	19	23
4	20	20
4	21	17
4	22	14
4	23	11
4	24	8
4	25	5
4	26	2
5	0	75
5	1	72
5	2	69
5	3	66
5	4	63
5	5	60
5	6	57
5	7	54
5	8	51
5	9	48
5	10	45
5	11	42
5	12	39
5	13	36
5	14	33
5	15	30
5	16	27
5	17	24
5	18	21
5	19	18
5	20	15
5	21	12
5	22	9
5	23	6
5	24	3
5	25	0
6	0	70
6	1	67
6	2	64
6	3	61
6	4	58
6	5	55
6	6	52
6	7	49
6	8	46
6	9	43
6	10	40
6	11	37
6	12	34
6	13	31
6	14	28
6	15	25
6	16	22
6	17	19
6	18	16
6	19	13
6	20	10
6	21	7
6	22	4
6	23	1
7	0	65
7	1	62
7	2	59
7	3	56
7	4	53
7	5	50
7	6	47
7	7	44
7	8	41
7	9	38
7	10	35
7	11	32
7	12	29
7	13	26
7	14	23
7	15	20
7	16	17
7	17	14
7	18	11
7	19	8
7	20	5
7	21	2
8	0	60
8	1	57
8	2	54
8	3	51
8	4	48
8	5	45
8	6	42
8	7	39
8	8	36
8	9	33
8	10	30
8	11	27
8	12	24
8	13	21
8	14	18
8	15	15
8	16	12
8	17	9
8	18	6
8	19	3
8	20	0
9	0	55
9	1	52
9	2	49
9	3	46
9	4	43
9	5	40
9	6	37
9	7	34
9	8	31
9	9	28
9	10	25
9	11	22
9	12	19
9	13	16
9	14	13
9	15	10
9	16	7
9	17	4
9	18	1
10	0	50
10	1	47
10	2	44
10	3	41
10	4	38
10	5	35
10	6	32
10	7	29
10	8	26
10	9	23
10	10	20
10	11	17
10	12	14
10	13	11
10	14	8
10	15	5
10	16	2
11	0	45
11	1	42
11	2	39
11	3	36
11	4	33
11	5	30
11	6	27
11	7	24
11	8	21
11	9	18
11	10	15
11	11	12
11	12	9
11	13	6
11	14	3
11	15	0
12	0	40
12	1	37
12	2	34
12	3	31
12	4	28
12	5	25
12	6	22
12	7	19
12	8	16
12	9	13
12	10	10
12	11	7
12	12	4
12	13	1
13	0	35
13	1	32
13	2	29
13	3	26
13	4	23
13	5	20
13	6	17
13	7	14
13	8	11
13	9	8
13	10	5
13	11	2
14	0	30
14	1	27
14	2	24
14	3	21
14	4	18
14	5	15
14	6	12
14	7	9
14	8	6
14	9	3
14	10	0
15	0	25
15	1	22
15	2	19
15	3	16
15	4	13
15	5	10
15	6	7
15	7	4
15	8	1
16	0	20
16	1	17
16	2	14
16	3	11
16	4	8
16	5	5
16	6	2
17	0	15
17	1	12
17	2	9
17	3	6
17	4	3
17	5	0
18	0	10
18	1	7
18	2	4
18	3	1
19	0	5
19	1	2
20	0	0
